id,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code",SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Shipping Class","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product Type",parent_id,"Product Categories","Product Tags",Models,_vc_post_settings,_wp_page_template,dhvc_woo_page_product,tm_meta_cpf,tm_meta,_yoast_wpseo_primary_product_cat,custom_tab_priority1,custom_tab_priority2,layout,_wpml_media_duplicate,_wpml_media_featured,_yoast_wpseo_content_score,page_title,_yoast_wpseo_primary_model,release_year,device_name,_wpml_location_migration_done,_wc_additional_variation_images,_wcml_custom_prices_status,_ean,_vaterartikel,_parentSKU,tm_meta_wpml,wcml_sync_hash,attr_label_translations,_wcml_duplicate_of_variation,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold IndivIDually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating","Min Variation Price","Max Variation Price","Min Variation Regular Price","Max Variation Regular Price","Min Variation Sale Price","Max Variation Sale Price","Min Price Variation ID","Max Price Variation ID","Min Regular Price Variation ID","Max Regular Price Variation ID","Min Sale Price Variation ID","Max Sale Price Variation ID"
224,"4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en,108,en,bfxs-0560,34.90,,,instock,,visible,,0,Color,"Black leather|Blue|Brown leather|Pink|Red",yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip.png|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,4Good-People-S502m-4G-flip.png|4Good-People-S502m-4G-flip-black-leather.jpg|4Good-People-S502m-4G-flip-red.jpg|4Good-People-S502m-4G-flip-pink.jpg|4Good-People-S502m-4G-flip-brown-leather.jpg|4Good-People-S502m-4G-flip-blue.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip.png|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,213|165|162|159|156|153,4Good-People-S502m-4G-(flip)|4Good-People-S502m-4G-(flip)-black-leather|4Good-People-S502m-4G-(flip)-red|4Good-People-S502m-4G-(flip)-pink|4Good-People-S502m-4G-(flip)-brown-leather|4Good-People-S502m-4G-(flip)-blue,,,,,,,,,,,,variable,0,"boonflip XS","4Good People S502m 4G","4Good>People S502m 4G","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,222,"a:3:{s:4:""mode"";s:7:""builder"";s:16:""override_display"";s:0:"""";s:24:""override_final_total_box"";s:0:"""";}",,,40,41,right-sidebar,1,1,30,page_title,,2016,"4Good People S502m 4G",,,,,,,"a:1:{s:10:""tmfbuilder"";a:43:{s:19:""section_header_size"";a:1:{i:0;s:1:""3"";}s:20:""section_header_title"";a:1:{i:0;s:0:"""";}s:29:""section_header_title_position"";a:1:{i:0;s:0:"""";}s:26:""section_header_title_color"";a:1:{i:0;s:0:"""";}s:23:""section_header_subtitle"";a:1:{i:0;s:0:"""";}s:32:""section_header_subtitle_position"";a:1:{i:0;s:0:"""";}s:29:""section_header_subtitle_color"";a:1:{i:0;s:0:"""";}s:20:""section_divider_type"";a:1:{i:0;s:4:""none"";}s:8:""sections"";a:1:{i:0;s:1:""1"";}s:15:""sections_slides"";a:1:{i:0;s:0:"""";}s:13:""sections_size"";a:1:{i:0;s:4:""w100"";}s:15:""sections_uniqid"";a:1:{i:0;s:23:""594cf459d6f931.64136456"";}s:14:""sections_style"";a:1:{i:0;s:0:"""";}s:18:""sections_placement"";a:1:{i:0;s:6:""before"";}s:13:""sections_type"";a:1:{i:0;s:0:"""";}s:14:""sections_class"";a:1:{i:0;s:0:"""";}s:15:""sections_clogic"";a:1:{i:0;s:41:""{""toggle"":""show"",""what"":""any"",""rules"":[]}"";}s:14:""sections_logic"";a:1:{i:0;s:0:"""";}s:22:""sections_internal_name"";a:1:{i:0;s:7:""Section"";}s:12:""element_type"";a:1:{i:0;s:10:""variations"";}s:8:""div_size"";a:1:{i:0;s:4:""w100"";}s:22:""variations_header_size"";a:1:{i:0;s:2:""10"";}s:23:""variations_header_title"";a:1:{i:0;s:0:"""";}s:32:""variations_header_title_position"";a:1:{i:0;s:0:"""";}s:29:""variations_header_title_color"";a:1:{i:0;s:0:"""";}s:26:""variations_header_subtitle"";a:1:{i:0;s:0:"""";}s:35:""variations_header_subtitle_position"";a:1:{i:0;s:0:"""";}s:32:""variations_header_subtitle_color"";a:1:{i:0;s:0:"""";}s:23:""variations_divider_type"";a:1:{i:0;s:4:""none"";}s:18:""variations_options"";a:1:{s:8:""pa_color"";a:12:{s:21:""variations_display_as"";s:5:""image"";s:16:""variations_label"";s:0:"""";s:28:""variations_show_reset_button"";s:0:"""";s:16:""variations_class"";s:0:"""";s:24:""variations_items_per_row"";s:1:""7"";s:21:""variations_item_width"";s:2:""70"";s:22:""variations_item_height"";s:2:""70"";s:32:""variations_changes_product_image"";s:0:"""";s:20:""variations_show_name"";s:4:""hide"";s:16:""variations_color"";a:5:{s:13:""black-leather"";s:0:"""";s:4:""blue"";s:0:"""";s:13:""brown-leather"";s:0:"""";s:7:""pink-en"";s:0:"""";s:3:""red"";s:0:"""";}s:16:""variations_image"";a:5:{s:13:""black-leather"";s:86:""http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/schwarz-Leder_variante.jpg"";s:4:""blue"";s:77:""http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/blau_variante.jpg"";s:13:""brown-leather"";s:84:""http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/braun-Leder_variante.jpg"";s:7:""pink-en"";s:77:""http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/pink_variante.jpg"";s:3:""red"";s:76:""http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/rot_variante.jpg"";}s:17:""variations_imagep"";a:5:{s:13:""black-leather"";s:0:"""";s:4:""blue"";s:0:"""";s:13:""brown-leather"";s:0:"""";s:7:""pink-en"";s:0:"""";s:3:""red"";s:0:"""";}}}s:17:""variations_uniqid"";a:1:{i:0;s:23:""594cf459d6f948.75375867"";}s:17:""variations_clogic"";a:1:{i:0;s:77:""{""element"":""594cf459d6f948.75375867"",""toggle"":""show"",""what"":""all"",""rules"":[]}"";}s:16:""variations_logic"";a:1:{i:0;s:0:"""";}s:16:""variations_class"";a:1:{i:0;s:0:"""";}s:23:""variations_container_id"";a:1:{i:0;s:0:"""";}s:41:""variations_include_tax_for_fee_price_type"";a:1:{i:0;s:0:"""";}s:39:""variations_tax_class_for_fee_price_type"";a:1:{i:0;s:0:"""";}s:37:""variations_hide_element_label_in_cart"";a:1:{i:0;s:0:"""";}s:37:""variations_hide_element_value_in_cart"";a:1:{i:0;s:0:"""";}s:38:""variations_hide_element_label_in_order"";a:1:{i:0;s:0:"""";}s:38:""variations_hide_element_value_in_order"";a:1:{i:0;s:0:"""";}s:41:""variations_hide_element_label_in_floatbox"";a:1:{i:0;s:0:"""";}s:41:""variations_hide_element_value_in_floatbox"";a:1:{i:0;s:0:"""";}}}","a:1:{s:15:""postmeta_fields"";s:32:""d64acd2fe20958f255550bc33071f345"";}",a:0:{},,publish,1,4good-people-s502m-4g-cover,,default,0,0,closed,open,no,no,,no,,,,,,,,no,,,,,,,,,no,,,"165,162,159,156,153","a:1:{s:8:""pa_color"";s:4:""blue"";}","a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",2.6.13,,,,,34.90,44.90,34.90,44.90,,,226,225,226,225,,
230,"Variation #217 of 4Good People S502m 4G Hülle",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=black-leather,109,en,51000561,44.90,44.90,,instock,,,,0,Color,black-leather,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,4Good-People-S502m-4G-flip-black-leather.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,165,4Good-People-S502m-4G-(flip)-black-leather,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,40,41,right-sidebar,1,1,,page_title,,,,,"167,176,197,47,50,53,56",,,,,,"a:2:{s:10:""taxonomies"";s:32:""d41d8cd98f00b204e9800998ecf8427e"";s:15:""postmeta_fields"";s:32:""583d4a4facc5cd75a69600fe9701be0b"";}",,217,publish,1,variation-217-of-4good-people-s502m-4g-huelle,,,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
231,"Variation #218 of 4Good People S502m 4G Hülle",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=red,110,en,51040561,34.90,34.90,,instock,,,,0,Color,red,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,4Good-People-S502m-4G-flip-red.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,162,4Good-People-S502m-4G-(flip)-red,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,40,41,right-sidebar,1,1,,page_title,,,,,"194,188,209,47,50,53,56",,,,,,"a:2:{s:10:""taxonomies"";s:32:""d41d8cd98f00b204e9800998ecf8427e"";s:15:""postmeta_fields"";s:32:""c0ab3761fe60412229cbace64a055af9"";}",,218,publish,1,variation-218-of-4good-people-s502m-4g-huelle,,,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
232,"Variation #219 of 4Good People S502m 4G Hülle",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=pink-en,111,en,51020561,34.90,34.90,,instock,,,,0,Color,pink-en,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,4Good-People-S502m-4G-flip-pink.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,159,4Good-People-S502m-4G-(flip)-pink,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,40,41,right-sidebar,1,1,,page_title,,,,,"191,185,206,47,50,53,56",,,,,,"a:2:{s:10:""taxonomies"";s:32:""d41d8cd98f00b204e9800998ecf8427e"";s:15:""postmeta_fields"";s:32:""f02b0a7873a25cd651e26befc53b3e28"";}",,219,publish,1,variation-219-of-4good-people-s502m-4g-huelle,,,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
233,"Variation #220 of 4Good People S502m 4G Hülle",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=brown-leather,112,en,51030561,44.90,44.90,,instock,,,,0,Color,brown-leather,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,4Good-People-S502m-4G-flip-brown-leather.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,156,4Good-People-S502m-4G-(flip)-brown-leather,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,40,41,right-sidebar,1,1,,page_title,,,,,"173,182,203,47,50,53,56",,,,,,"a:2:{s:10:""taxonomies"";s:32:""d41d8cd98f00b204e9800998ecf8427e"";s:15:""postmeta_fields"";s:32:""61515d2396a64b94727970d59b0bcd17"";}",,220,publish,1,variation-220-of-4good-people-s502m-4g-huelle,,,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
234,"Variation #221 of 4Good People S502m 4G Hülle",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=blue,113,en,51010561,34.90,34.90,,instock,,,,0,Color,blue,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,4Good-People-S502m-4G-flip-blue.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,153,4Good-People-S502m-4G-(flip)-blue,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",,,,,,40,41,right-sidebar,1,1,,page_title,,,,,"170,179,200,47,50,53,56",,,,,,"a:2:{s:10:""taxonomies"";s:32:""d41d8cd98f00b204e9800998ecf8427e"";s:15:""postmeta_fields"";s:32:""50b2062906afeba44cc9a571549cdfdd"";}",,221,publish,1,variation-221-of-4good-people-s502m-4g-huelle,,,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,
