id,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code",SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Shipping Class","Image URL","Image Filename","Image Path","Image ID","Image Title","Image Caption","Image Description","Image Alt Text","Attachment URL","Attachment Filename","Attachment Path","Attachment ID","Attachment Title","Attachment Caption","Attachment Description","Attachment Alt Text","Product Type",parent_id,"Product Categories","Product Tags",Models,_vc_post_settings,_wp_page_template,dhvc_woo_page_product,tm_meta_cpf,tm_meta,_yoast_wpseo_primary_product_cat,custom_tab_priority1,custom_tab_priority2,layout,_wpml_media_duplicate,_wpml_media_featured,_yoast_wpseo_content_score,page_title,_yoast_wpseo_primary_model,release_year,device_name,_wpml_location_migration_done,_wc_additional_variation_images,_wcml_custom_prices_status,_ean,_vaterartikel,_parentSKU,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold IndivIDually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating","Min Variation Price","Max Variation Price","Min Variation Regular Price","Max Variation Regular Price","Min Variation Sale Price","Max Variation Sale Price","Min Price Variation ID","Max Price Variation ID","Min Regular Price Variation ID","Max Regular Price Variation ID","Min Sale Price Variation ID","Max Sale Price Variation ID"
224,"4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en,108,en,bfxs-0560,34.90,,,instock,,visible,,0,Color,"Black leather|Blue|Brown leather|Pink|Red",yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip.png|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg|http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,4Good-People-S502m-4G-flip.png|4Good-People-S502m-4G-flip-black-leather.jpg|4Good-People-S502m-4G-flip-red.jpg|4Good-People-S502m-4G-flip-pink.jpg|4Good-People-S502m-4G-flip-brown-leather.jpg|4Good-People-S502m-4G-flip-blue.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip.png|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg|/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,213|164|161|158|155|152,4Good-People-S502m-4G-(flip)|4Good-People-S502m-4G-(flip)-black-leather|4Good-People-S502m-4G-(flip)-red|4Good-People-S502m-4G-(flip)-pink|4Good-People-S502m-4G-(flip)-brown-leather|4Good-People-S502m-4G-(flip)-blue,,,,,,,,,,,,variable,0,"boonflip XS","4Good People S502m 4G","4Good>People S502m 4G","a:1:{s:10:""vc_grid_id"";a:0:{}}",default,222,"a:3:{s:4:""mode"";s:7:""builder"";s:16:""override_display"";s:0:"""";s:24:""override_final_total_box"";s:0:"""";}",,,40,41,right-sidebar,1,1,30,page_title,,2016,"4Good People S502m 4G",,,,,,,publish,1,4good-people-s502m-4g-cover,,default,0,0,closed,open,no,no,,no,,,,,,,,no,,,,,,,,,no,,,"164,161,158,155,152","a:1:{s:8:""pa_color"";s:4:""blau"";}","a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",2.6.13,,,,,34.90,44.90,34.90,44.90,,,226,225,226,225,,
225,"Variation #225 of 4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=black-leather,109,en,51000561,44.90,44.90,,instock,,,,0,Color,black-leather,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,4Good-People-S502m-4G-flip-black-leather.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-black-leather.jpg,164,4Good-People-S502m-4G-(flip)-black-leather,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,,,,,,,1,"167,176,197,47,50,53,56",0,4059965957375,5100,bfxs-0560,publish,1,variation-225-of-4good-people-s502m-4g-cover,,default,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,"a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:13:""black-leather"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",,,,,,,,,,,,,,,,,
226,"Variation #226 of 4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=red,110,en,51040561,34.90,34.90,,instock,,,,0,Color,red,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,4Good-People-S502m-4G-flip-red.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-red.jpg,161,4Good-People-S502m-4G-(flip)-red,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,,,,,,,1,"194,188,209,47,50,53,56",0,4059965957368,5104,bfxs-0560,publish,1,variation-226-of-4good-people-s502m-4g-cover,,default,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,"a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:3:""red"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",,,,,,,,,,,,,,,,,
227,"Variation #227 of 4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=pink-en,111,en,51020561,34.90,34.90,,instock,,,,0,Color,pink-en,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,4Good-People-S502m-4G-flip-pink.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-pink.jpg,158,4Good-People-S502m-4G-(flip)-pink,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,,,,,,,1,"191,185,206,47,50,53,56",0,4059965957351,5102,bfxs-0560,publish,1,variation-227-of-4good-people-s502m-4g-cover,,default,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,"a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:7:""pink-en"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",,,,,,,,,,,,,,,,,
228,"Variation #228 of 4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=brown-leather,112,en,51030561,44.90,44.90,,instock,,,,0,Color,brown-leather,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,4Good-People-S502m-4G-flip-brown-leather.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-brown-leather.jpg,155,4Good-People-S502m-4G-(flip)-brown-leather,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,,,,,,,1,"173,182,203,47,50,53,56",0,4059965957382,5103,bfxs-0560,publish,1,variation-228-of-4good-people-s502m-4g-cover,,default,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,"a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:13:""brown-leather"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",,,,,,,,,,,,,,,,,
229,"Variation #229 of 4Good People S502m 4G cover",,,20170622,product,http://p414239.webspaceconfig.de/shop/4good-people-s502m-4g-cover/?lang=en&attribute_pa_color=blue,113,en,51010561,34.90,34.90,,instock,,,,0,Color,blue,yes,yes,yes,,http://p414239.webspaceconfig.de/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,4Good-People-S502m-4G-flip-blue.jpg,/html/wordpress/wp-content/uploads/2017/06/4Good-People-S502m-4G-flip-blue.jpg,152,4Good-People-S502m-4G-(flip)-blue,,,,,,,,,,,,variable,224,,,,"a:1:{s:10:""vc_grid_id"";a:0:{}}",default,,,,,,,,,,,,,,,1,"170,179,200,47,50,53,56",0,4059965957399,5101,bfxs-0560,publish,1,variation-229-of-4good-people-s502m-4g-cover,,default,224,0,open,open,no,no,,no,0.09,,,,,,,no,,,,,,,,,no,,,,,"a:1:{s:8:""pa_color"";a:7:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:4:""blue"";s:8:""position"";i:0;s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;s:24:""is_create_taxonomy_terms"";i:1;}}",,,,,,,,,,,,,,,,,
