id,Title,Content,Excerpt,Date,"Post Type",Permalink,"WPML Translation ID","WPML Language Code",SKU,Price,"Regular Price","Sale Price","Stock Status",Stock,Visibility,"External Product URL","Total Sales","Attribute Name (pa_color)","Attribute Value (pa_color)","Attribute In Variations (pa_color)","Attribute Is Visible (pa_color)","Attribute Is Taxonomy (pa_color)","Shipping Class","Product Type",parent_id,"Product Categories","Product Tags",Models,Status,Author,Slug,Format,Template,Parent,Order,"Comment Status","Ping Status",Downloadable,Virtual,"Purchase Note",Featured,Weight,Length,Width,Height,"Sale Price Dates From","Sale Price Dates To","Sold IndivIDually","Manage Stock",Up-Sells,Cross-Sells,"Downloadable Files Paths","Downloadable Files Names","Download Limit","Download Expiry","Download Type","Button Text",Backorders,"Tax Status","Tax Class","Product Image Gallery","Default Attributes","Product Attributes","Product Version","Variation Description","WC Rating Count","WC Review Count","WC Average Rating"
146,"4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/,76,de,bfxs-0560,34.90,,,instock,,visible,,0,Color,"Blau|Braun Leder|Pink|Rot|Schwarz Leder",yes,yes,yes,,variable,0,"boonflip XS","4Good People S502m 4G","4Good>People S502m 4G",publish,1,4good-people-s502m-4g-huelle,,,0,0,closed,closed,no,no,,no,,,,,,,,no,,,,,,,,,no,,,,"a:1:{s:8:""pa_color"";s:4:""blau"";}","a:1:{s:8:""pa_color"";a:6:{s:4:""name"";s:8:""pa_color"";s:5:""value"";s:0:"""";s:8:""position"";s:1:""0"";s:10:""is_visible"";i:1;s:12:""is_variation"";i:1;s:11:""is_taxonomy"";i:1;}}",2.6.13,,,,
147,"Variation #147 of 4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/?attribute_pa_color=schwarz-leder,77,de,51000561,44.90,44.90,,instock,,,,,Color,schwarz-leder,yes,yes,yes,,variable,146,,,,publish,1,product-146-variation,,,146,0,closed,closed,no,no,,,0.09,,,,,,,no,,,,,,,,,,,,,,,,,,,
148,"Variation #148 of 4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/?attribute_pa_color=rot,78,de,51040561,34.90,34.90,,instock,,,,,Color,rot,yes,yes,yes,,variable,146,,,,publish,1,product-146-variation-2,,,146,0,closed,closed,no,no,,,0.09,,,,,,,no,,,,,,,,,,,,,,,,,,,
149,"Variation #149 of 4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/?attribute_pa_color=pink,79,de,51020561,34.90,34.90,,instock,,,,,Color,pink,yes,yes,yes,,variable,146,,,,publish,1,product-146-variation-3,,,146,0,closed,closed,no,no,,,0.09,,,,,,,no,,,,,,,,,,,,,,,,,,,
150,"Variation #150 of 4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/?attribute_pa_color=braun-leder,80,de,51030561,44.90,44.90,,instock,,,,,Color,braun-leder,yes,yes,yes,,variable,146,,,,publish,1,product-146-variation-4,,,146,0,closed,closed,no,no,,,0.09,,,,,,,no,,,,,,,,,,,,,,,,,,,
151,"Variation #151 of 4Good People S502m 4G Hülle",,,20170623,product,http://p414239.webspaceconfig.de/produkt/4good-people-s502m-4g-huelle/?attribute_pa_color=blau,81,de,51010560,34.90,34.90,,instock,,,,,Color,blau,yes,yes,yes,,variable,146,,,,publish,1,product-146-variation-5,,,146,0,closed,closed,no,no,,,0.09,,,,,,,no,,,,,,,,,,,,,,,,,,,
